Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
BAMI.IT_EUR,7.913,0.008,0,0,0.01,0,0,unknown,1,0,BAMIITEUR,10,1,BAMI.IT,EUR, IT, STK_CASH, Banco BPM Spa
KGF.GB_GBX,254.554,0.398,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,KGFGBGBX,10,1,KGF.GB,GBX, GB, STK_CASH, Kingfisher PLC
KNIN.CH_CHF,202.872,0.255,0,0,0.01,0,0,Europe/Zurich:09.00-17.30,1,0,KNINCHCHF,10,1,KNIN.CH,CHF, CH, STK_CASH, Kuehne + Nagel International AG
TEN.IT_EUR,18.164,0.012,0,0,0.01,0,0,Europe/Rome:09.00-17.25,1,0,TENITEUR,10,1,TEN.IT,EUR, IT, STK_CASH, Tenaris SA
SLHN.CH_CHF,689.17,0.465,0,0,0.01,0,0,Europe/Zurich:09.00-17.30,1,0,SLHNCHCHF,10,1,SLHN.CH,CHF, CH, STK_CASH, Swiss Life Holding AG
AH.NL_EUR,31.635,0.037,0,0,0.01,0,0,Europe/Amsterdam:09.00-17.40,1,0,AHNLEUR,10,1,AH.NL,EUR, NL, STK_CASH, Koninklijke Ahold Delhaize NV
NXST.US_USD,158.918,0.324,0,0,0.01,0,0,unknown,1,0,NXSTUSUSD,10,1,NXST.US,USD, US, STK_CASH, NEXSTAR MEDIA GROUP INC-CL A
SCI.US_USD,82.24,0.06,0,0,0.01,0,0,unknown,1,0,SCIUSUSD,10,1,SCI.US,USD, US, STK_CASH, SERVICE CORP INTERNATIONAL
BERY.US_USD,64.528,0.204,0,0,0.01,0,0,unknown,1,0,BERYUSUSD,10,1,BERY.US,USD, US, STK_CASH, BERRY GLOBAL GROUP INC
TYL.US_USD,588.015,3.83,0,0,0.01,0,0,unknown,1,0,TYLUSUSD,10,1,TYL.US,USD, US, STK_CASH, TYLER TECHNOLOGIES INC
WPP.GB_GBX,850.927,0.674,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,WPPGBGBX,10,1,WPP.GB,GBX, GB, STK_CASH, WPP PLC
VIE.FR_EUR,27.088,0.023,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,VIEFREUR,10,1,VIE.FR,EUR, FR, STK_CASH, Veolia Environnement SA
6752.JP_JPY,1585,2.9,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,6752JPJPY,10,1,6752.JP,JPY, JP, STK_CASH, Panasonic Corp
6902.JP_JPY,2091.3,0.8,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,6902JPJPY,10,1,6902.JP,JPY, JP, STK_CASH, Denso Corp
