Name,Price,spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,commission,symbol,leverage,Lotsize,Base,Quote
EURCAD,1.48264,0.000185,-0.70000,0.02000,0.00010,6.74390688,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURCAD,500,100000.00,EUR,CAD
EURNZD,1.76755,0.000243,-1.12000,0.23000,0.00010,5.65674850,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURNZD,500,100000.00,EUR,NZD
GBPCAD,1.74135,0.000242,-0.26000,-0.59000,0.00010,6.74390688,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPCAD,500,100000.00,GBP,CAD
GBPNZD,2.07595,0.000392,-0.60000,-0.37000,0.00010,5.65674850,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPNZD,500,100000.00,GBP,NZD
NZDCAD,0.83868,0.000249,-0.09000,-0.33000,0.00010,6.74390688,113.07,UTC:21:01-20:59,1000.00000000,0.00,NZDCAD,500,100000.00,NZD,CAD
NZDCHF,0.56118,0.000202,0.47000,-0.75000,0.00010,10.07810532,113.07,UTC:21:01-20:59,1000.00000000,0.00,NZDCHF,500,100000.00,NZD,CHF
USDBRL,5.18284,0.003490,-15.14000,7.49000,0.00010,1.77581621,9213.96,UTC:12:31-19:59,1000.00000000,0.00,USDBRL,10,100000.00,USD,BRL
USDIDR,16070.3,13.80,-1.83000,-1.08000,1.0,5.72613256,9214.04,UTC:01:01-19:59,1000.00000000,0.00,USDIDR,10,100000.00,USD,IDR
USDNOK,10.52712,0.003224,-0.39000,-5.61000,0.00010,0.87469167,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDNOK,500,100000.00,USD,NOK
USDMXN,16.67802,0.002997,-35.06000,14.60000,0.00010,0.55210307,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDMXN,500,100000.00,USD,MXN
USDSGD,1.34888,0.000255,0.22000,-1.08000,0.00010,6.82696378,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDSGD,500,100000.00,USD,SGD
USDSEK,10.63105,0.002637,2.21000,-8.19000,0.00010,0.86615933,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDSEK,500,100000.00,USD,SEK
EURSEK,11.54203,0.003124,-2.03000,-4.32000,0.00010,0.86615933,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURSEK,500,100000.00,EUR,SEK
GBPSGD,1.72002,0.000392,0.09000,-1.38000,0.00010,6.82696378,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPSGD,500,100000.00,GBP,SGD
EURNOK,11.42956,0.003148,-4.83000,-1.59000,0.00010,0.87469167,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURNOK,500,100000.00,EUR,NOK
AUDSGD,0.89636,0.000281,-0.18000,-0.45000,0.00010,6.82696378,122.39,UTC:21:01-20:59,1000.00000000,0.00,AUDSGD,500,100000.00,AUD,SGD
